id;insumo;stock
ITEM-0001;Pinza Mosquito;500
ITEM-0002;Alcohol 70% 1L;499
ITEM-0003;Guante Nitrilo Talla M;498
ITEM-0004;Esparadrapo 5cm;497
ITEM-0005;Jeringa 10ml;496
ITEM-0006;Jeringa 5ml;495
ITEM-0007;Jeringa 5ml;494
ITEM-0008;Alcohol 70% 500ml;493
ITEM-0009;Esparadrapo 5cm;492
ITEM-0010;Alcohol 70% 1L;491
ITEM-0011;Cinta Micropore 1;490
ITEM-0012;Esparadrapo 5cm;489
ITEM-0013;Agujas 25G;488
ITEM-0014;Tijeras Curvas;487
ITEM-0015;Guante Latex Talla S;486
ITEM-0016;Tijeras Rectas;485
ITEM-0017;Venda Elástica 10cm;484
ITEM-0018;Guante Nitrilo Talla L;483
ITEM-0019;Guante Nitrilo Talla M;482
ITEM-0020;Guante Latex Talla S;481
ITEM-0021;Gasas 5x5;480
ITEM-0022;Jeringa 5ml;479
ITEM-0023;Suero Fisiológico 500ml;478
ITEM-0024;Pinza Kelly;477
ITEM-0025;Guante Nitrilo Talla M;476
ITEM-0026;Tijeras Curvas;475
ITEM-0027;Gasas 5x5;474
ITEM-0028;Cinta Micropore 2;473
ITEM-0029;Pinza Mosquito;472
ITEM-0030;Cinta Micropore 2;471
ITEM-0031;Tijeras Curvas;470
ITEM-0032;Venda Elástica 10cm;469
ITEM-0033;Jeringa 5ml;468
ITEM-0034;Algodón 250g;467
ITEM-0035;Tijeras Rectas;466
ITEM-0036;Jeringa 10ml;465
ITEM-0037;Guantes Esterilizados Par;464
ITEM-0038;Agujas 23G;463
ITEM-0039;Guante Nitrilo Talla M;462
ITEM-0040;Esparadrapo 2.5cm;461
ITEM-0041;Guantes Esterilizados Par;460
ITEM-0042;Gasas 10x10;459
ITEM-0043;Cinta Micropore 2;458
ITEM-0044;Venda Elástica 10cm;457
ITEM-0045;Mascarilla N95;456
ITEM-0046;Jeringa 10ml;455
ITEM-0047;Alcohol 70% 500ml;454
ITEM-0048;Gasas 5x5;453
ITEM-0049;Esparadrapo 2.5cm;452
ITEM-0050;Mascarilla N95;451
ITEM-0051;Alcohol 70% 1L;450
